iter	Passed	Remaining
0	136	136825
1	138	69284
2	141	46953
3	142	35520
4	143	28518
5	144	23874
6	145	20596
7	146	18127
8	147	16249
9	148	14733
10	150	13499
11	151	12457
12	153	11624
13	154	10914
14	156	10286
15	158	9719
16	159	9226
17	160	8769
18	161	8355
19	163	7993
20	164	7669
21	166	7385
22	167	7112
23	168	6847
24	169	6608
25	170	6370
26	171	6175
27	172	5992
28	173	5812
29	174	5633
30	174	5468
31	175	5315
32	176	5174
33	177	5044
34	178	4914
35	179	4802
36	180	4692
37	181	4586
38	182	4485
39	182	4390
40	184	4320
41	185	4233
42	186	4147
43	187	4065
44	187	3987
45	188	3918
46	190	3852
47	191	3802
48	192	3743
49	193	3679
50	194	3616
51	195	3562
52	196	3503
53	196	3445
54	197	3390
55	198	3338
56	198	3287
57	199	3239
58	200	3190
59	200	3144
60	201	3104
61	202	3062
62	203	3021
63	203	2981
64	204	2941
65	205	2901
66	205	2864
67	206	2827
68	207	2793
69	208	2763
70	208	2734
71	210	2712
72	211	2684
73	212	2656
74	213	2628
75	213	2600
76	215	2579
77	215	2553
78	217	2537
79	218	2513
80	219	2493
81	220	2472
82	221	2446
83	222	2424
84	223	2402
85	223	2380
86	224	2356
87	225	2334
88	225	2311
89	226	2290
90	227	2268
91	228	2253
92	228	2232
93	229	2212
94	230	2193
95	231	2175
96	231	2157
97	232	2138
98	232	2119
99	233	2100
100	233	2082
101	234	2063
102	235	2046
103	235	2029
104	236	2014
105	237	2000
106	238	1988
107	239	1975
108	240	1961
109	240	1949
110	241	1936
111	242	1924
112	243	1912
113	244	1899
114	245	1887
115	246	1875
116	246	1863
117	248	1856
118	249	1846
119	250	1835
120	251	1824
121	251	1812
122	252	1800
123	253	1788
124	253	1776
125	254	1765
126	255	1753
127	255	1742
128	256	1732
129	257	1720
130	257	1709
131	258	1698
132	259	1688
133	259	1678
134	260	1670
135	261	1661
136	262	1651
137	262	1641
138	263	1631
139	263	1621
140	264	1611
141	264	1600
142	265	1593
143	266	1585
144	268	1581
145	269	1574
146	269	1566
147	270	1559
148	271	1551
149	272	1544
150	273	1536
151	275	1535
152	276	1528
153	277	1523
154	278	1519
155	279	1512
156	280	1506
157	281	1500
158	282	1494
159	283	1487
160	283	1479
161	284	1473
162	285	1467
163	286	1460
164	287	1454
165	288	1448
166	289	1442
167	289	1435
168	290	1429
169	291	1421
170	291	1415
171	292	1409
172	293	1403
173	294	1397
174	295	1393
175	296	1388
176	297	1383
177	298	1378
178	299	1373
179	300	1368
180	301	1363
181	302	1359
182	303	1354
183	304	1349
184	305	1344
185	306	1343
186	308	1341
187	309	1337
188	310	1333
189	311	1328
190	312	1323
191	313	1317
192	314	1313
193	314	1307
194	315	1302
195	316	1298
196	317	1292
197	317	1287
198	318	1282
199	319	1277
200	320	1274
201	321	1270
202	322	1266
203	323	1261
204	323	1256
205	324	1250
206	325	1247
207	327	1245
208	328	1241
209	329	1239
210	330	1236
211	331	1232
212	332	1229
213	334	1226
214	335	1223
215	336	1221
216	338	1220
217	339	1217
218	340	1214
219	341	1211
220	342	1208
221	343	1204
222	344	1200
223	345	1196
224	346	1192
225	347	1189
226	348	1185
227	349	1182
228	350	1179
229	351	1176
230	352	1172
231	353	1170
232	354	1166
233	355	1162
234	356	1159
235	357	1157
236	358	1154
237	359	1150
238	360	1147
239	361	1144
240	362	1142
241	363	1139
242	365	1137
243	366	1135
244	367	1133
245	369	1131
246	370	1129
247	371	1127
248	373	1125
249	374	1123
250	375	1120
251	376	1117
252	377	1113
253	377	1110
254	378	1106
