iter	Passed	Remaining
0	123	123530
1	125	62702
2	126	42167
3	127	31809
4	128	25608
5	129	21457
6	130	18488
7	131	16244
8	131	14493
9	132	13089
10	132	11932
11	133	10980
12	133	10173
13	134	9491
14	135	8890
15	136	8367
16	136	7899
17	137	7481
18	137	7113
19	138	6776
20	138	6470
21	139	6194
22	139	5939
23	140	5708
24	140	5493
25	141	5300
26	141	5115
27	142	4949
28	143	4794
29	144	4664
30	144	4531
31	145	4400
32	146	4279
33	146	4165
34	147	4055
35	147	3954
36	148	3857
37	148	3767
38	149	3680
39	149	3597
40	150	3518
41	151	3445
42	151	3372
43	152	3304
44	152	3238
45	153	3176
46	153	3116
47	154	3058
48	154	3003
49	155	2951
50	155	2901
51	156	2852
52	157	2805
53	157	2761
54	158	2716
55	158	2674
56	159	2632
57	159	2594
58	160	2557
59	160	2521
60	161	2484
61	161	2448
62	162	2415
63	162	2382
64	163	2351
65	163	2320
66	164	2291
67	164	2259
68	165	2232
69	166	2206
70	166	2180
71	167	2156
72	167	2130
73	168	2106
74	168	2083
75	169	2060
76	169	2036
77	170	2015
78	171	2001
79	172	1980
80	172	1959
81	173	1939
82	173	1920
83	174	1901
84	174	1880
85	175	1862
86	175	1842
87	176	1825
88	176	1808
89	177	1791
90	177	1775
91	178	1759
92	178	1743
93	179	1728
94	179	1713
95	180	1698
96	180	1683
97	181	1669
98	182	1656
99	182	1644
100	183	1631
101	183	1615
102	184	1603
103	184	1591
104	185	1578
105	185	1565
106	186	1553
107	186	1541
108	187	1530
109	187	1518
110	188	1507
111	188	1496
112	189	1485
113	189	1474
114	190	1464
115	190	1453
116	191	1442
117	191	1432
118	192	1421
119	192	1412
120	193	1402
121	193	1393
122	193	1382
123	194	1373
124	194	1364
125	195	1356
126	196	1348
127	196	1339
128	197	1331
129	197	1324
130	198	1316
131	199	1309
132	199	1301
133	200	1293
134	200	1286
135	201	1278
136	201	1271
137	202	1263
138	203	1263
139	204	1257
140	205	1250
141	205	1243
142	206	1237
143	207	1230
144	207	1223
145	207	1216
146	208	1210
147	209	1203
148	209	1197
149	210	1190
150	210	1185
151	211	1178
152	211	1172
153	212	1166
